Period,President,Term Start,Term End,Mode of Entry,Basis for Entry,Mode of Exit,Department of Origin,Political Organization,Official Title,Effective Authority,First Vice President,Second Vice President
1980–2000: Era of Terrorism and Fujimorismo,Fernando Belaúnde Terry,7/28/1980,7/28/1985,Election,,Completion of Term,Lima,Acción Popular,Presidente Constitucional de la República del Perú,,Fernando Schwalb,Javier Alva Orlandini
1980–2000: Era of Terrorism and Fujimorismo,Alan García,7/28/1985,7/28/1990,Election,,Completion of Term,Lima,Partido Aprista Peruano,Presidente Constitucional de la República del Perú,,Luis Alberto Sánchez,Luis Alva Castro
1980–2000: Era of Terrorism and Fujimorismo,Alberto Fujimori,7/28/1990,4/5/1992,Election,,Self-Coup,Lima,Cambio 90,Presidente Constitucional de la República del Perú,,Máximo San Román,Carlos García y García
1980–2000: Era of Terrorism and Fujimorismo,Máximo San Román,4/21/1992,12/29/1993,Constitutional Succession,First Vice President,Superseded by New Constitution,Cuzco,Independiente,Presidente Constitucional de la República del Perú,No,Carlos García y García,
1980–2000: Era of Terrorism and Fujimorismo,Alberto Fujimori,4/22/1992,1/5/1993,Self-Coup,,Constituent Congress Transition,Lima,,Presidente del Gobierno de Emergencia y Reconstrucción Nacional,,Jaime Yoshiyama,
1980–2000: Era of Terrorism and Fujimorismo,Alberto Fujimori,1/9/1993,7/28/1995,Constituent Congress Ratification,New Constitution,Completion of Term,Lima,Cambio 90-Nueva Mayoría,Presidente Constitucional de la República del Perú,,,
1980–2000: Era of Terrorism and Fujimorismo,Alberto Fujimori,7/28/1995,7/28/2000,Election,,Completion of Term,Lima,,Presidente Constitucional de la República del Perú,,Ricardo Márquez Flores,César Paredes Canto
1980–2000: Era of Terrorism and Fujimorismo,Alberto Fujimori,7/28/2000,11/21/2000,Election,,Resignation,Lima,Perú 2000 (Cambio 90),Presidente Constitucional de la República del Perú,,Francisco Tudela,Ricardo Márquez Flores
2000–2016: Business Republic,Valentín Paniagua,11/22/2000,7/28/2001,Constitutional Succession,President of Congress,Completion of Term,Cuzco,Acción Popular,Presidente Constitucional de la República del Perú,,,
2000–2016: Business Republic,Alejandro Toledo,7/28/2001,7/28/2006,Election,,Completion of Term,Ancash,Perú Posible,Presidente Constitucional de la República del Perú,,Raúl Diez Canseco Terry (2001–2004),David Waisman (2001–2006)
2000–2016: Business Republic,Alan García,7/28/2006,7/28/2011,Election,,Completion of Term,Lima,Partido Aprista Peruano,Presidente Constitucional de la República del Perú,,Luis Giampietri,Lourdes Mendoza del Solar
2000–2016: Business Republic,Ollanta Humala,7/28/2011,7/28/2016,Election,,Completion of Term,Lima,Gana Perú,Presidente Constitucional de la República del Perú,,Marisol Espinoza (2011–2016),Omar Chehade (2011–2012)
2016–2020: First Political Crisis,Pedro Pablo Kuczynski,7/28/2016,3/23/2018,Election,,Resignation,Lima,Peruanos Por el Kambio,Presidente Constitucional de la República del Perú,,Martín Vizcarra,Mercedes Aráoz
2016–2020: First Political Crisis,Martín Vizcarra,3/23/2018,11/9/2020,Constitutional Succession,First Vice President,Congressional Removal,Moquegua,Independiente,Presidente Constitucional de la República del Perú,,,
2016–2020: First Political Crisis,Mercedes Aráoz,9/30/2019,10/1/2019,Congressional Declaration,Second Vice President,Resignation,Lima,Independiente,Presidente en funciones de la República del Perú,No,,
2016–2020: First Political Crisis,Manuel Merino,11/10/2020,11/15/2020,Constitutional Succession,President of Congress,Resignation,Tumbes,Acción Popular,Presidente Constitucional de la República del Perú,,,
2016–2020: First Political Crisis,Francisco Sagasti,11/17/2020,7/28/2021,Constitutional Succession,President of Congress,Completion of Term,Lima,Partido Morado,Presidente Constitucional de la República del Perú,,,
2021–2026: Second Political Crisis,Pedro Castillo,7/28/2021,12/7/2022,Election,,Congressional Removal,Cajamarca,Perú Libre,Presidente Constitucional de la República del Perú,,Dina Boluarte,Vacant
2021–2026: Second Political Crisis,Dina Boluarte,12/7/2022,10/10/2025,Constitutional Succession,First Vice President,Congressional Removal,Apurímac,Independiente,Presidente Constitucional de la República del Perú,,,
2021–2026: Second Political Crisis,José Jerí,10/10/2025,2/17/2026,Constitutional Succession,President of Congress,Congressional Removal,Lima,Somos Perú,Presidente Constitucional de la República del Perú,,,
2021–2026: Second Political Crisis,José María Balcázar,2/18/2026,3/12/2026,Constitutional Succession,President of Congress,Pending,Cajamarca,Perú Libre,Presidente Constitucional de la República del Perú,,,
